,id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
49,1598707753,Under,275,4467431808,2.13,4.5,DeVonta Smith (Receptions),Philadelphia Eagles,Cleveland Browns
50,1598707758,Over,274,4467101758,2.03,5.5,A.J. Brown (Receptions),Philadelphia Eagles,Cleveland Browns
51,1598707759,Under,275,4467101759,1.806,5.5,A.J. Brown (Receptions),Philadelphia Eagles,Cleveland Browns
52,1598714226,Over,274,4467287312,2.05,2.5,Saquon Barkley (Receptions),Philadelphia Eagles,Cleveland Browns
53,1598714227,Under,275,4467287313,1.787,2.5,Saquon Barkley (Receptions),Philadelphia Eagles,Cleveland Browns
54,1598715477,Over,266,4467413957,1.934,2.5,Rashod Bateman (Receptions),Baltimore Ravens,Washington Commanders
55,1598715478,Under,267,4467413958,1.884,2.5,Rashod Bateman (Receptions),Baltimore Ravens,Washington Commanders
56,1598715734,Over,276,4467421790,2.02,3.5,DeAndre Hopkins (Receptions),Tennessee Titans,Indianapolis Colts
57,1598715735,Under,277,4467421791,1.813,3.5,DeAndre Hopkins (Receptions),Tennessee Titans,Indianapolis Colts
58,1598715737,Over,276,4467415318,1.757,2.5,Tony Pollard (Receptions),Tennessee Titans,Indianapolis Colts
59,1598715738,Under,277,4467415319,2.09,2.5,Tony Pollard (Receptions),Tennessee Titans,Indianapolis Colts
60,1598715772,Over,276,4467421657,1.869,3.5,Calvin Ridley (Receptions),Tennessee Titans,Indianapolis Colts
61,1598715773,Under,277,4467421658,1.961,3.5,Calvin Ridley (Receptions),Tennessee Titans,Indianapolis Colts
62,1598716427,Over,276,4467415352,2.55,2.5,Chig Okonkwo (Receptions),Tennessee Titans,Indianapolis Colts
63,1598716428,Under,277,4467415353,1.515,2.5,Chig Okonkwo (Receptions),Tennessee Titans,Indianapolis Colts
64,1598718451,Over,276,4467421681,2.0,2.5,Tyjae Spears (Receptions),Tennessee Titans,Indianapolis Colts
65,1598718452,Under,277,4467421682,1.826,2.5,Tyjae Spears (Receptions),Tennessee Titans,Indianapolis Colts
66,1598719125,Over,274,4467287394,2.01,2.5,Elijah Moore (Receptions),Philadelphia Eagles,Cleveland Browns
67,1598719126,Under,275,4467287395,1.819,2.5,Elijah Moore (Receptions),Philadelphia Eagles,Cleveland Browns
68,1598753846,Over,268,4467419061,1.892,2.5,Greg Dortch (Receptions),Green Bay Packers,Arizona Cardinals
69,1598753847,Under,269,4467419062,1.925,2.5,Greg Dortch (Receptions),Green Bay Packers,Arizona Cardinals
70,1598755224,Over,274,4467431895,2.52,3.5,Jerome Ford (Receptions),Philadelphia Eagles,Cleveland Browns
71,1598755225,Under,275,4467431896,1.526,3.5,Jerome Ford (Receptions),Philadelphia Eagles,Cleveland Browns
72,1598755257,Over,274,4467415326,2.18,3.5,David Njoku (Receptions),Philadelphia Eagles,Cleveland Browns
73,1598755258,Under,275,4467415327,1.699,3.5,David Njoku (Receptions),Philadelphia Eagles,Cleveland Browns
74,1598755311,Over,272,4467379976,1.934,3.5,Cade Otton (Receptions),New Orleans Saints,Tampa Bay Buccaneers
75,1598755312,Under,273,4467379977,1.884,3.5,Cade Otton (Receptions),New Orleans Saints,Tampa Bay Buccaneers
76,1598756121,Over,266,4467413945,1.9,2.5,Justice Hill (Receptions),Baltimore Ravens,Washington Commanders
77,1598756122,Under,267,4467413946,1.925,2.5,Justice Hill (Receptions),Baltimore Ravens,Washington Commanders
78,1598756136,Over,272,4467379939,2.52,1.5,Foster Moreau (Receptions),New Orleans Saints,Tampa Bay Buccaneers
79,1598756137,Under,273,4467379940,1.529,1.5,Foster Moreau (Receptions),New Orleans Saints,Tampa Bay Buccaneers
80,1598756150,Over,272,4467414118,2.16,2.5,Juwan Johnson (Receptions),New Orleans Saints,Tampa Bay Buccaneers
81,1598756151,Under,273,4467414119,1.704,2.5,Juwan Johnson (Receptions),New Orleans Saints,Tampa Bay Buccaneers
82,1598757108,Over,276,4467272233,2.03,2.5,Tyler Boyd (Receptions),Tennessee Titans,Indianapolis Colts
83,1598757109,Under,277,4467272234,1.793,2.5,Tyler Boyd (Receptions),Tennessee Titans,Indianapolis Colts
84,1598759395,Over,270,4467376593,2.08,1.5,Austin Hooper (Receptions),New England Patriots,Houston Texans
85,1598759396,Under,271,4467376594,1.769,1.5,Austin Hooper (Receptions),New England Patriots,Houston Texans
86,1598760892,Over,272,4467379915,1.909,4.5,Alvin Kamara (Receptions),New Orleans Saints,Tampa Bay Buccaneers
87,1598760893,Under,273,4467379916,1.917,4.5,Alvin Kamara (Receptions),New Orleans Saints,Tampa Bay Buccaneers
88,1598760896,Under,273,4467388755,1.8,4.5,Chris Olave (Receptions),New Orleans Saints,Tampa Bay Buccaneers
89,1598760895,Over,272,4467388754,2.03,4.5,Chris Olave (Receptions),New Orleans Saints,Tampa Bay Buccaneers
90,1598761187,Over,266,4467413863,2.01,1.5,Nelson Agholor (Receptions),Baltimore Ravens,Washington Commanders
91,1598761188,Under,267,4467413864,1.813,1.5,Nelson Agholor (Receptions),Baltimore Ravens,Washington Commanders
92,1598761199,Over,272,4467424847,1.671,2.5,Bucky Irving (Receptions),New Orleans Saints,Tampa Bay Buccaneers
93,1598761200,Under,273,4467424848,2.22,2.5,Bucky Irving (Receptions),New Orleans Saints,Tampa Bay Buccaneers
94,1598764654,Over,270,4467435423,2.56,3.5,Antonio Gibson (Receptions),New England Patriots,Houston Texans
