event_name,event_id,competition_name,url
Indianapolis Colts vs San Francisco 49ers,1333e200-ced5-48b0-8296-498d05b95168,NFL,https://www.neds.com.au/sports/american-football/nfl/indianapolis-colts-vs-san-francisco-49ers/1333e200-ced5-48b0-8296-498d05b95168
Miami Dolphins vs Cincinnati Bengals,21927578-a9c4-443f-b5b1-32c15468f0f4,NFL,https://www.neds.com.au/sports/american-football/nfl/miami-dolphins-vs-cincinnati-bengals/21927578-a9c4-443f-b5b1-32c15468f0f4
Carolina Panthers vs Tampa Bay Buccaneers,25a72ae5-c461-443a-922f-153ecdb28dea,NFL,https://www.neds.com.au/sports/american-football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/25a72ae5-c461-443a-922f-153ecdb28dea
New York Giants vs Minnesota Vikings,57a34a45-ea8c-40a9-aad6-83fc6bf0b656,NFL,https://www.neds.com.au/sports/american-football/nfl/new-york-giants-vs-minnesota-vikings/57a34a45-ea8c-40a9-aad6-83fc6bf0b656
Baltimore Ravens vs New England Patriots,6189aeb0-7f8e-444d-b237-c94c7207b2c3,NFL,https://www.neds.com.au/sports/american-football/nfl/baltimore-ravens-vs-new-england-patriots/6189aeb0-7f8e-444d-b237-c94c7207b2c3
Dallas Cowboys vs Los Angeles Chargers,888af542-90c8-4066-8d6b-d1eeb18857df,NFL,https://www.neds.com.au/sports/american-football/nfl/dallas-cowboys-vs-los-angeles-chargers/888af542-90c8-4066-8d6b-d1eeb18857df
Denver Broncos vs Jacksonville Jaguars,9b994e94-f009-490c-9073-11cc808f320e,NFL,https://www.neds.com.au/sports/american-football/nfl/denver-broncos-vs-jacksonville-jaguars/9b994e94-f009-490c-9073-11cc808f320e
New Orleans Saints vs New York Jets,9be57cc5-4a72-457a-8d03-dc3ac22ec981,NFL,https://www.neds.com.au/sports/american-football/nfl/new-orleans-saints-vs-new-york-jets/9be57cc5-4a72-457a-8d03-dc3ac22ec981
Cleveland Browns vs Buffalo Bills,b524cea2-f731-4d71-9034-3ddcd9e909de,NFL,https://www.neds.com.au/sports/american-football/nfl/cleveland-browns-vs-buffalo-bills/b524cea2-f731-4d71-9034-3ddcd9e909de
Tennessee Titans vs Kansas City Chiefs,b90bfdce-28af-4277-8349-712564a8a488,NFL,https://www.neds.com.au/sports/american-football/nfl/tennessee-titans-vs-kansas-city-chiefs/b90bfdce-28af-4277-8349-712564a8a488
Arizona Cardinals vs Atlanta Falcons,c6e73509-32c9-4bc5-b54d-c5981265e21a,NFL,https://www.neds.com.au/sports/american-football/nfl/arizona-cardinals-vs-atlanta-falcons/c6e73509-32c9-4bc5-b54d-c5981265e21a
Houston Texans vs Las Vegas Raiders,c77ee3a5-078b-42a6-bfc0-fafaa89c74ec,NFL,https://www.neds.com.au/sports/american-football/nfl/houston-texans-vs-las-vegas-raiders/c77ee3a5-078b-42a6-bfc0-fafaa89c74ec
