match,player_name,player_team,market,line,over_price,agency,EventKey,MarketKey,OutcomeKey
Green Bay Packers v Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,Player Touchdowns,2.5,126,Pointsbet,2484764,98848424,19
Green Bay Packers v Philadelphia Eagles,Dontayvion Wicks,Green Bay Packers,Player Touchdowns,0.5,4.2,Pointsbet,2484764,98848421,7
Green Bay Packers v Philadelphia Eagles,Dontayvion Wicks,Green Bay Packers,Player Touchdowns,1.5,21,Pointsbet,2484764,98848423,7
Green Bay Packers v Philadelphia Eagles,Dontayvion Wicks,Green Bay Packers,Player Touchdowns,2.5,351,Pointsbet,2484764,98848424,7
Green Bay Packers v Philadelphia Eagles,Emanuel Wilson,Green Bay Packers,Player Touchdowns,0.5,4.5,Pointsbet,2484764,98848421,9
Green Bay Packers v Philadelphia Eagles,Emanuel Wilson,Green Bay Packers,Player Touchdowns,1.5,26,Pointsbet,2484764,98848423,9
Green Bay Packers v Philadelphia Eagles,Emanuel Wilson,Green Bay Packers,Player Touchdowns,2.5,351,Pointsbet,2484764,98848424,9
Green Bay Packers v Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,Player Touchdowns,0.5,12,Pointsbet,2484764,98848421,23
Green Bay Packers v Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,Player Touchdowns,1.5,401,Pointsbet,2484764,98848423,22
Green Bay Packers v Philadelphia Eagles,Green Bay Packers D/St,NA,Player Touchdowns,0.5,5.25,Pointsbet,2484764,98848421,14
Green Bay Packers v Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,Player Touchdowns,0.5,10,Pointsbet,2484764,98848421,22
Green Bay Packers v Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,Player Touchdowns,1.5,126,Pointsbet,2484764,98848423,21
Green Bay Packers v Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,Player Touchdowns,0.5,2.15,Pointsbet,2484764,98848421,19
Green Bay Packers v Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,Player Touchdowns,1.5,7,Pointsbet,2484764,98848423,18
Green Bay Packers v Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,Player Touchdowns,2.5,29,Pointsbet,2484764,98848424,18
Green Bay Packers v Philadelphia Eagles,John Fitzpatrick,NA,Player Touchdowns,0.5,8,Pointsbet,2484764,98848421,5
Green Bay Packers v Philadelphia Eagles,John Fitzpatrick,NA,Player Touchdowns,1.5,71,Pointsbet,2484764,98848423,5
Green Bay Packers v Philadelphia Eagles,John Fitzpatrick,NA,Player Touchdowns,2.5,701,Pointsbet,2484764,98848424,5
Green Bay Packers v Philadelphia Eagles,Jordan Love,Green Bay Packers,Player Touchdowns,0.5,9.5,Pointsbet,2484764,98848421,2
Green Bay Packers v Philadelphia Eagles,Jordan Love,Green Bay Packers,Player Touchdowns,1.5,101,Pointsbet,2484764,98848423,2
Green Bay Packers v Philadelphia Eagles,Josh Jacobs,Green Bay Packers,Player Touchdowns,0.5,1.65,Pointsbet,2484764,98848421,1
Green Bay Packers v Philadelphia Eagles,Josh Jacobs,Green Bay Packers,Player Touchdowns,1.5,4.3,Pointsbet,2484764,98848423,1
Green Bay Packers v Philadelphia Eagles,Josh Jacobs,Green Bay Packers,Player Touchdowns,2.5,14,Pointsbet,2484764,98848424,1
Green Bay Packers v Philadelphia Eagles,Josh Whyle,Green Bay Packers,Player Touchdowns,0.5,11,Pointsbet,2484764,98848421,13
Green Bay Packers v Philadelphia Eagles,Josh Whyle,Green Bay Packers,Player Touchdowns,1.5,151,Pointsbet,2484764,98848423,13
Green Bay Packers v Philadelphia Eagles,Josh Whyle,Green Bay Packers,Player Touchdowns,2.5,701,Pointsbet,2484764,98848424,13
Green Bay Packers v Philadelphia Eagles,Kylen Granson,Philadelphia Eagles,Player Touchdowns,0.5,26,Pointsbet,2484764,98848421,21
Green Bay Packers v Philadelphia Eagles,Kylen Granson,Philadelphia Eagles,Player Touchdowns,1.5,351,Pointsbet,2484764,98848423,20
Green Bay Packers v Philadelphia Eagles,Luke Musgrave,Green Bay Packers,Player Touchdowns,0.5,4.4,Pointsbet,2484764,98848421,10
Green Bay Packers v Philadelphia Eagles,Luke Musgrave,Green Bay Packers,Player Touchdowns,1.5,23,Pointsbet,2484764,98848423,10
Green Bay Packers v Philadelphia Eagles,Luke Musgrave,Green Bay Packers,Player Touchdowns,2.5,401,Pointsbet,2484764,98848424,10
Green Bay Packers v Philadelphia Eagles,Malik Heath,Green Bay Packers,Player Touchdowns,0.5,6.5,Pointsbet,2484764,98848421,8
Green Bay Packers v Philadelphia Eagles,Malik Heath,Green Bay Packers,Player Touchdowns,1.5,51,Pointsbet,2484764,98848423,8
Green Bay Packers v Philadelphia Eagles,Malik Heath,Green Bay Packers,Player Touchdowns,2.5,601,Pointsbet,2484764,98848424,8
Green Bay Packers v Philadelphia Eagles,Matthew Golden,Green Bay Packers,Player Touchdowns,0.5,4,Pointsbet,2484764,98848421,11
Green Bay Packers v Philadelphia Eagles,Matthew Golden,Green Bay Packers,Player Touchdowns,1.5,21,Pointsbet,2484764,98848423,11
Green Bay Packers v Philadelphia Eagles,Matthew Golden,Green Bay Packers,Player Touchdowns,2.5,401,Pointsbet,2484764,98848424,11
Green Bay Packers v Philadelphia Eagles,Philadelphia Eagles D/St,NA,Player Touchdowns,0.5,5.25,Pointsbet,2484764,98848421,29
Green Bay Packers v Philadelphia Eagles,Romeo Doubs,Green Bay Packers,Player Touchdowns,0.5,2.7,Pointsbet,2484764,98848421,4
Green Bay Packers v Philadelphia Eagles,Romeo Doubs,Green Bay Packers,Player Touchdowns,1.5,12,Pointsbet,2484764,98848423,4
Green Bay Packers v Philadelphia Eagles,Romeo Doubs,Green Bay Packers,Player Touchdowns,2.5,81,Pointsbet,2484764,98848424,4
Green Bay Packers v Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,Player Touchdowns,0.5,2.1,Pointsbet,2484764,98848421,15
Green Bay Packers v Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,Player Touchdowns,1.5,6.5,Pointsbet,2484764,98848423,14
Green Bay Packers v Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,Player Touchdowns,2.5,31,Pointsbet,2484764,98848424,14
Green Bay Packers v Philadelphia Eagles,Savion Williams,Green Bay Packers,Player Touchdowns,0.5,9,Pointsbet,2484764,98848421,12
Green Bay Packers v Philadelphia Eagles,Savion Williams,Green Bay Packers,Player Touchdowns,1.5,67,Pointsbet,2484764,98848423,12
Green Bay Packers v Philadelphia Eagles,Savion Williams,Green Bay Packers,Player Touchdowns,2.5,601,Pointsbet,2484764,98848424,12
Green Bay Packers v Philadelphia Eagles,Tank Bigsby,Philadelphia Eagles,Player Touchdowns,0.5,17,Pointsbet,2484764,98848421,25
Green Bay Packers v Philadelphia Eagles,Tank Bigsby,Philadelphia Eagles,Player Touchdowns,1.5,351,Pointsbet,2484764,98848423,24
Green Bay Packers v Philadelphia Eagles,Will Shipley,Philadelphia Eagles,Player Touchdowns,0.5,15,Pointsbet,2484764,98848421,27
Green Bay Packers v Philadelphia Eagles,Will Shipley,Philadelphia Eagles,Player Touchdowns,1.5,501,Pointsbet,2484764,98848423,26
Green Bay Packers v Philadelphia Eagles,Xavier Gipson,Philadelphia Eagles,Player Touchdowns,0.5,21,Pointsbet,2484764,98848421,24
Green Bay Packers v Philadelphia Eagles,Xavier Gipson,Philadelphia Eagles,Player Touchdowns,1.5,351,Pointsbet,2484764,98848423,23
