match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
Atlanta Falcons v Los Angeles Rams,2025-12-30T01:15:00Z,Head To Head,Atlanta Falcons,3.8,Los Angeles Rams,1.27,1.051,BetRight
San Francisco 49ers v Seattle Seahawks,2026-01-04T01:00:00Z,Head To Head,San Francisco 49ers,1.87,Seattle Seahawks,1.93,1.053,BetRight
Los Angeles Rams v Arizona Cardinals,2026-01-04T21:25:00Z,Head To Head,Los Angeles Rams,1.2,Arizona Cardinals,4.6,1.051,BetRight
Chicago Bears v Detroit Lions,2026-01-04T21:25:00Z,Head To Head,Chicago Bears,1.71,Detroit Lions,2.14,1.052,BetRight
Philadelphia Eagles v Washington Commanders,2026-01-04T21:25:00Z,Head To Head,Philadelphia Eagles,1.25,Washington Commanders,4,1.05,BetRight
