match,player_name,player_team,market,line,over_price,under_price,margin,agency
Baltimore Ravens v Detroit Lions,David Montgomery,Detroit Lions,Rushing Attempts,10.5,1.95,1.79,1.071,Sportsbet
Baltimore Ravens v Detroit Lions,Derrick Henry,Baltimore Ravens,Rushing Attempts,18.5,1.78,1.96,1.072,Sportsbet
Baltimore Ravens v Detroit Lions,Jahmyr Gibbs,Detroit Lions,Rushing Attempts,12.5,1.96,1.78,1.072,Sportsbet
Baltimore Ravens v Detroit Lions,Lamar Jackson,Baltimore Ravens,Rushing Attempts,6.5,1.77,1.97,1.073,Sportsbet
New York Giants v Kansas City Chiefs,Cam Skattebo,New York Giants,Rushing Attempts,9.5,1.82,1.91,1.073,Sportsbet
New York Giants v Kansas City Chiefs,Isiah Pacheco,Kansas City Chiefs,Rushing Attempts,11.5,2,1.74,1.075,Sportsbet
New York Giants v Kansas City Chiefs,Kareem Hunt,Kansas City Chiefs,Rushing Attempts,9.5,1.85,1.85,1.081,Sportsbet
New York Giants v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Rushing Attempts,4.5,1.77,1.97,1.073,Sportsbet
New York Giants v Kansas City Chiefs,Russell Wilson,New York Giants,Rushing Attempts,4.5,2.1,1.68,1.071,Sportsbet
New York Giants v Kansas City Chiefs,Tyrone Tracy Jr,NA,Rushing Attempts,6.5,2,1.74,1.075,Sportsbet
