match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,agency
Philadelphia Eagles v Detroit Lions,Philadelphia Eagles,Detroit Lions,Passing Touchdowns,Jalen Hurts,Philadelphia Eagles,Detroit Lions,4.5,23,Neds
Philadelphia Eagles v Detroit Lions,Philadelphia Eagles,Detroit Lions,Passing Touchdowns,Jalen Hurts,Philadelphia Eagles,Detroit Lions,0.5,1.16,Neds
Philadelphia Eagles v Detroit Lions,Philadelphia Eagles,Detroit Lions,Passing Touchdowns,Jalen Hurts,Philadelphia Eagles,Detroit Lions,2.5,3.5,Neds
Philadelphia Eagles v Detroit Lions,Philadelphia Eagles,Detroit Lions,Passing Touchdowns,Jalen Hurts,Philadelphia Eagles,Detroit Lions,3.5,8,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Bo Nix,Denver Broncos,Kansas City Chiefs,0.5,1.26,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Bo Nix,Denver Broncos,Kansas City Chiefs,2.5,4.8,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Bo Nix,Denver Broncos,Kansas City Chiefs,4.5,41,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Bo Nix,Denver Broncos,Kansas City Chiefs,3.5,13,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Bo Nix,Denver Broncos,Kansas City Chiefs,1.5,2.2,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Patrick Mahomes,Kansas City Chiefs,Denver Broncos,4.5,19,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Patrick Mahomes,Kansas City Chiefs,Denver Broncos,3.5,7,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Patrick Mahomes,Kansas City Chiefs,Denver Broncos,1.5,1.73,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Patrick Mahomes,Kansas City Chiefs,Denver Broncos,2.5,3.2,Neds
Denver Broncos v Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Passing Touchdowns,Patrick Mahomes,Kansas City Chiefs,Denver Broncos,0.5,1.1400000000000001,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Brock Purdy,San Francisco 49ers,Arizona Cardinals,3.5,6.25,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Brock Purdy,San Francisco 49ers,Arizona Cardinals,0.5,1.12,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Brock Purdy,San Francisco 49ers,Arizona Cardinals,2.5,2.95,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Brock Purdy,San Francisco 49ers,Arizona Cardinals,1.5,1.65,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Brock Purdy,San Francisco 49ers,Arizona Cardinals,4.5,16,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,Caleb Williams,Chicago Bears,Minnesota Vikings,4.5,26,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,Caleb Williams,Chicago Bears,Minnesota Vikings,1.5,1.9100000000000001,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,Caleb Williams,Chicago Bears,Minnesota Vikings,2.5,3.8,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,Caleb Williams,Chicago Bears,Minnesota Vikings,3.5,9,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,Caleb Williams,Chicago Bears,Minnesota Vikings,0.5,1.19,Neds
Miami Dolphins v Washington Commanders,Miami Dolphins,Washington Commanders,Passing Touchdowns,Tua Tagovailoa,Miami Dolphins,Washington Commanders,2.5,2.95,Neds
Miami Dolphins v Washington Commanders,Miami Dolphins,Washington Commanders,Passing Touchdowns,Tua Tagovailoa,Miami Dolphins,Washington Commanders,1.5,1.65,Neds
Miami Dolphins v Washington Commanders,Miami Dolphins,Washington Commanders,Passing Touchdowns,Tua Tagovailoa,Miami Dolphins,Washington Commanders,4.5,16,Neds
Miami Dolphins v Washington Commanders,Miami Dolphins,Washington Commanders,Passing Touchdowns,Tua Tagovailoa,Miami Dolphins,Washington Commanders,3.5,6.25,Neds
Miami Dolphins v Washington Commanders,Miami Dolphins,Washington Commanders,Passing Touchdowns,Tua Tagovailoa,Miami Dolphins,Washington Commanders,0.5,1.12,Neds
