match,player_name,player_team,market,line,over_price,agency,under_price
Arizona Cardinals v Carolina Panthers,Bryce Young,Carolina Panthers,Passing Yards,203.5,1.925,Pinnacle,1.862
Arizona Cardinals v Carolina Panthers,Kyler Murray,Arizona Cardinals,Passing Yards,220.5,1.892,Pinnacle,1.892
Baltimore Ravens v Cleveland Browns,Joe Flacco,Cleveland Browns,Passing Yards,241.5,1.917,Pinnacle,1.819
Baltimore Ravens v Cleveland Browns,Lamar Jackson,Baltimore Ravens,Passing Yards,215.5,1.892,Pinnacle,1.9
California v Minnesota Vikings,Drake Lindsey,NA,Passing Yards,205.5,1.884,Pinnacle,1.9
California v Minnesota Vikings,Jaron-Keawe Sagapolutele,NA,Passing Yards,223.5,1.97,Pinnacle,1.819
Cincinnati Bengals v Jacksonville Jaguars,Joe Burrow,Cincinnati Bengals,Passing Yards,279.5,1.892,Pinnacle,1.892
Cincinnati Bengals v Jacksonville Jaguars,Trevor Lawrence,Jacksonville Jaguars,Passing Yards,244.5,1.892,Pinnacle,1.9
Dallas Cowboys v New York Giants,Dak Prescott,Dallas Cowboys,Passing Yards,247.5,1.892,Pinnacle,1.892
Dallas Cowboys v New York Giants,Russell Wilson,New York Giants,Passing Yards,216.5,1.892,Pinnacle,1.892
Detroit Lions v Chicago Bears,Caleb Williams,Chicago Bears,Passing Yards,219.5,1.892,Pinnacle,1.892
Detroit Lions v Chicago Bears,Jared Goff,Detroit Lions,Passing Yards,251.5,2.02,Pinnacle,1.781
Houston Texans v Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,Passing Yards,235.5,1.877,Pinnacle,1.877
Houston Texans v Tampa Bay Buccaneers,C.J. Stroud,Houston Texans,Passing Yards,229.5,1.877,Pinnacle,1.877
Indianapolis Colts v Denver Broncos,Bo Nix,Denver Broncos,Passing Yards,230.5,1.833,Pinnacle,1.961
Indianapolis Colts v Denver Broncos,Daniel Jones,Indianapolis Colts,Passing Yards,203.5,1.99,Pinnacle,1.757
Kansas City Chiefs v Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,Passing Yards,212.5,1.892,Pinnacle,1.892
Kansas City Chiefs v Philadelphia Eagles,Patrick Mahomes,Kansas City Chiefs,Passing Yards,245.5,1.892,Pinnacle,1.892
Las Vegas Raiders v Los Angeles Chargers,Geno Smith,Las Vegas Raiders,Passing Yards,241.5,1.943,Pinnacle,1.961
Las Vegas Raiders v Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,Passing Yards,248.5,1.869,Pinnacle,2.04
Miami Dolphins v New England Patriots,Drake Maye,New England Patriots,Passing Yards,222.5,1.869,Pinnacle,1.869
Miami Dolphins v New England Patriots,Tua Tagovailoa,Miami Dolphins,Passing Yards,240.5,1.892,Pinnacle,1.9
Minnesota Vikings v Atlanta Falcons,J.J. McCarthy,Minnesota Vikings,Passing Yards,213.5,1.909,Pinnacle,1.826
Minnesota Vikings v Atlanta Falcons,Michael Penix Jr.,Atlanta Falcons,Passing Yards,225.5,1.934,Pinnacle,1.854
New Orleans Saints v San Francisco 49ers,Mac Jones,San Francisco 49ers,Passing Yards,200.5,1.813,Pinnacle,1.98
New Orleans Saints v San Francisco 49ers,Spencer Rattler,New Orleans Saints,Passing Yards,204.5,1.884,Pinnacle,1.9
New York Jets v Buffalo Bills,Josh Allen,Buffalo Bills,Passing Yards,234.5,1.892,Pinnacle,1.9
New York Jets v Buffalo Bills,Justin Fields,New York Jets,Passing Yards,190.5,1.787,Pinnacle,2.01
Pittsburgh Steelers v Seattle Seahawks,Aaron Rodgers,Pittsburgh Steelers,Passing Yards,226.5,1.877,Pinnacle,1.909
Pittsburgh Steelers v Seattle Seahawks,Sam Darnold,Seattle Seahawks,Passing Yards,196.5,1.884,Pinnacle,1.9
Tennessee Titans v Los Angeles Rams,Cam Ward,Tennessee Titans,Passing Yards,198.5,1.909,Pinnacle,1.884
Tennessee Titans v Los Angeles Rams,Matthew Stafford,Los Angeles Rams,Passing Yards,242.5,1.847,Pinnacle,1.952
