match,player_name,player_team,market,line,over_price,agency,under_price
Seattle Seahawks v New Orleans Saints,Sam Darnold,Seattle Seahawks,Rushing Yards,9.5,1.869,Pinnacle,1.869
Seattle Seahawks v New Orleans Saints,Spencer Rattler,New Orleans Saints,Rushing Yards,14.5,1.719,Pinnacle,2.05
Tampa Bay Buccaneers v New York Jets,Braelon Allen,New York Jets,Rushing Yards,16.5,1.775,Pinnacle,1.97
Tampa Bay Buccaneers v New York Jets,Breece Hall,New York Jets,Rushing Yards,58.5,1.74,Pinnacle,2.07
Tampa Bay Buccaneers v New York Jets,Bucky Irving,Tampa Bay Buccaneers,Rushing Yards,70.5,1.917,Pinnacle,1.869
Tampa Bay Buccaneers v New York Jets,Rachaad White,Tampa Bay Buccaneers,Rushing Yards,25.5,1.97,Pinnacle,1.781
Tennessee Titans v Indianapolis Colts,Cam Ward,Tennessee Titans,Rushing Yards,9.5,1.869,Pinnacle,1.869
Tennessee Titans v Indianapolis Colts,Daniel Jones,Indianapolis Colts,Rushing Yards,23.5,1.869,Pinnacle,1.869
Tennessee Titans v Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,Rushing Yards,90.5,1.847,Pinnacle,1.943
Tennessee Titans v Indianapolis Colts,Tony Pollard,Tennessee Titans,Rushing Yards,69.5,1.833,Pinnacle,1.952
Washington Commanders v Las Vegas Raiders,Ashton Jeanty,Las Vegas Raiders,Rushing Yards,60.5,1.819,Pinnacle,1.97
Washington Commanders v Las Vegas Raiders,Deebo Samuel Sr.,Washington Commanders,Rushing Yards,3.5,1.746,Pinnacle,2.01
Washington Commanders v Las Vegas Raiders,Geno Smith,Las Vegas Raiders,Rushing Yards,13.5,2,Pinnacle,1.751
Washington Commanders v Las Vegas Raiders,Jacory Croskey-Merritt,Washington Commanders,Rushing Yards,53.5,1.97,Pinnacle,1.781
Washington Commanders v Las Vegas Raiders,Marcus Mariota,Washington Commanders,Rushing Yards,28.5,1.763,Pinnacle,1.99
