match,player_name,player_team,market,line,over_price,under_price,margin,agency
Atlanta Falcons v New Orleans Saints,Kirk Cousins,Atlanta Falcons,Passing Attempts,30.5,1.83,1.93,1.065,Sportsbet
Atlanta Falcons v New Orleans Saints,Tyler Shough,New Orleans Saints,Passing Attempts,32.5,1.83,1.94,1.062,Sportsbet
Chicago Bears v Detroit Lions,Caleb Williams,Chicago Bears,Passing Attempts,31.5,1.88,1.88,1.064,Sportsbet
Chicago Bears v Detroit Lions,Jared Goff,Detroit Lions,Passing Attempts,32.5,1.88,1.88,1.064,Sportsbet
Cincinnati Bengals v Cleveland Browns,Joe Burrow,Cincinnati Bengals,Passing Attempts,33.5,1.88,1.88,1.064,Sportsbet
Cincinnati Bengals v Cleveland Browns,Shedeur Sanders,Cleveland Browns,Passing Attempts,31.5,1.97,1.8,1.063,Sportsbet
Denver Broncos v Los Angeles Chargers,Bo Nix,Denver Broncos,Passing Attempts,33.5,1.9,1.86,1.064,Sportsbet
Denver Broncos v Los Angeles Chargers,Trey Lance,Los Angeles Chargers,Passing Attempts,27.5,1.88,1.88,1.064,Sportsbet
Houston Texans v Indianapolis Colts,C.J. Stroud,Houston Texans,Passing Attempts,30.5,1.88,1.88,1.064,Sportsbet
Houston Texans v Indianapolis Colts,Riley Leonard,Indianapolis Colts,Passing Attempts,27.5,1.88,1.88,1.064,Sportsbet
Jacksonville Jaguars v Tennessee Titans,Cam Ward,Tennessee Titans,Passing Attempts,35.5,2.01,1.77,1.062,Sportsbet
Jacksonville Jaguars v Tennessee Titans,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,31.5,1.83,1.94,1.062,Sportsbet
Las Vegas Raiders v Kansas City Chiefs,Chris Oladokun,Kansas City Chiefs,Passing Attempts,26.5,1.83,1.94,1.062,Sportsbet
Los Angeles Rams v Arizona Cardinals,Jacoby Brissett,Arizona Cardinals,Passing Attempts,38.5,1.88,1.88,1.064,Sportsbet
Los Angeles Rams v Arizona Cardinals,Matthew Stafford,Los Angeles Rams,Passing Attempts,33.5,1.76,2.02,1.063,Sportsbet
Minnesota Vikings v Green Bay Packers,J.J. McCarthy,Minnesota Vikings,Passing Attempts,26.5,1.88,1.88,1.064,Sportsbet
New England Patriots v Miami Dolphins,Drake Maye,New England Patriots,Passing Attempts,29.5,1.91,1.86,1.061,Sportsbet
New England Patriots v Miami Dolphins,Quinn Ewers,Miami Dolphins,Passing Attempts,28.5,1.83,1.93,1.065,Sportsbet
Philadelphia Eagles v Washington Commanders,Josh Johnson,Washington Commanders,Passing Attempts,27.5,2.02,1.76,1.063,Sportsbet
Philadelphia Eagles v Washington Commanders,Tanner McKee,Philadelphia Eagles,Passing Attempts,31.5,1.79,1.99,1.061,Sportsbet
Pittsburgh Steelers v Baltimore Ravens,Aaron Rodgers,Pittsburgh Steelers,Passing Attempts,32.5,2.01,1.77,1.062,Sportsbet
Pittsburgh Steelers v Baltimore Ravens,Lamar Jackson,Baltimore Ravens,Passing Attempts,27.5,1.98,1.8,1.061,Sportsbet
