match,player_name,player_team,market,line,over_price,under_price,margin,agency
Arizona Cardinals v Tennessee Titans,Cam Ward,Tennessee Titans,Interceptions,0.5,1.87,1.85,1.075,Sportsbet
Arizona Cardinals v Tennessee Titans,Kyler Murray,Arizona Cardinals,Interceptions,0.5,2.01,1.74,1.072,Sportsbet
Baltimore Ravens v Houston Texans,C.J. Stroud,Houston Texans,Interceptions,0.5,1.93,1.8,1.074,Sportsbet
Baltimore Ravens v Houston Texans,Cooper Rush,Baltimore Ravens,Interceptions,0.5,1.73,2.03,1.071,Sportsbet
Buffalo Bills v New England Patriots,Drake Maye,New England Patriots,Interceptions,0.5,1.87,1.87,1.07,Sportsbet
Buffalo Bills v New England Patriots,Josh Allen,Buffalo Bills,Interceptions,0.5,2.14,1.65,1.073,Sportsbet
Carolina Panthers v Miami Dolphins,Bryce Young,Carolina Panthers,Interceptions,0.5,1.81,1.93,1.071,Sportsbet
Carolina Panthers v Miami Dolphins,Tua Tagovailoa,Miami Dolphins,Interceptions,0.5,1.87,1.87,1.07,Sportsbet
Cincinnati Bengals v Detroit Lions,Jake Browning,Cincinnati Bengals,Interceptions,0.5,1.61,2.23,1.07,Sportsbet
Cincinnati Bengals v Detroit Lions,Jared Goff,Detroit Lions,Interceptions,0.5,2.14,1.65,1.073,Sportsbet
Cleveland Browns v Minnesota Vikings,Carson Wentz,Minnesota Vikings,Interceptions,0.5,1.64,2.17,1.071,Sportsbet
Cleveland Browns v Minnesota Vikings,Dillon Gabriel,Cleveland Browns,Interceptions,0.5,1.45,2.63,1.07,Sportsbet
Indianapolis Colts v Las Vegas Raiders,Daniel Jones,Indianapolis Colts,Interceptions,0.5,2.29,1.58,1.07,Sportsbet
Indianapolis Colts v Las Vegas Raiders,Geno Smith,Las Vegas Raiders,Interceptions,0.5,1.68,2.1,1.071,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,Interceptions,0.5,1.96,1.78,1.072,Sportsbet
Jacksonville Jaguars v Kansas City Chiefs,Trevor Lawrence,Jacksonville Jaguars,Interceptions,0.5,1.59,2.26,1.071,Sportsbet
Los Angeles Chargers v Washington Commanders,Jayden Daniels,Washington Commanders,Interceptions,0.5,2,1.75,1.071,Sportsbet
Los Angeles Chargers v Washington Commanders,Justin Herbert,Los Angeles Chargers,Interceptions,0.5,2.33,1.56,1.07,Sportsbet
New Orleans Saints v New York Giants,Jaxson Dart,New York Giants,Interceptions,0.5,1.79,1.95,1.071,Sportsbet
New Orleans Saints v New York Giants,Spencer Rattler,New Orleans Saints,Interceptions,0.5,1.9,1.83,1.073,Sportsbet
New York Jets v Dallas Cowboys,Dak Prescott,Dallas Cowboys,Interceptions,0.5,2.12,1.67,1.071,Sportsbet
New York Jets v Dallas Cowboys,Justin Fields,New York Jets,Interceptions,0.5,1.95,1.79,1.071,Sportsbet
Philadelphia Eagles v Denver Broncos,Bo Nix,Denver Broncos,Interceptions,0.5,1.69,2.09,1.07,Sportsbet
Philadelphia Eagles v Denver Broncos,Jalen Hurts,Philadelphia Eagles,Interceptions,0.5,2.71,1.43,1.068,Sportsbet
Seattle Seahawks v Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,Interceptions,0.5,1.8,1.93,1.074,Sportsbet
Seattle Seahawks v Tampa Bay Buccaneers,Sam Darnold,Seattle Seahawks,Interceptions,0.5,2,1.74,1.075,Sportsbet
