match,home_team,away_team,market,player_name,player_team,line,over_price,under_price,agency,opposition_team,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Cincinnati Bengals v Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Rushing Yards,Samaje Perine,Cincinnati Bengals,22.5,1.87,1.85,BetRight,Cleveland Browns,53862888,Samaje Perine Over 22.5,Samaje Perine Under 22.5,1,2,294063831,294063832
Cincinnati Bengals v Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Rushing Yards,Samaje Perine,Cincinnati Bengals,25.5,2.1,1.61,BetRight,Cleveland Browns,53862889,Samaje Perine Over 25.5,Samaje Perine Under 25.5,1,2,294063833,294063834
Cincinnati Bengals v Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Rushing Yards,Samaje Perine,Cincinnati Bengals,28.5,2.45,1.47,BetRight,Cleveland Browns,53862890,Samaje Perine Over 28.5,Samaje Perine Under 28.5,1,2,294063835,294063836
Minnesota Vikings v Green Bay Packers,Minnesota Vikings,Green Bay Packers,Rushing Yards,Jordan Mason,Minnesota Vikings,59.5,1.52,2.35,BetRight,Green Bay Packers,53863088,Jordan Mason Over 59.5,Jordan Mason Under 59.5,1,2,294064617,294064618
Minnesota Vikings v Green Bay Packers,Minnesota Vikings,Green Bay Packers,Rushing Yards,Jordan Mason,Minnesota Vikings,64.5,1.69,2.04,BetRight,Green Bay Packers,53863089,Jordan Mason Over 64.5,Jordan Mason Under 64.5,1,2,294064619,294064620
Minnesota Vikings v Green Bay Packers,Minnesota Vikings,Green Bay Packers,Rushing Yards,Jordan Mason,Minnesota Vikings,69.5,1.91,1.81,BetRight,Green Bay Packers,53863090,Jordan Mason Over 69.5,Jordan Mason Under 69.5,1,2,294064622,294064621
Minnesota Vikings v Green Bay Packers,Minnesota Vikings,Green Bay Packers,Rushing Yards,Jordan Mason,Minnesota Vikings,74.5,2.1,1.64,BetRight,Green Bay Packers,53863091,Jordan Mason Over 74.5,Jordan Mason Under 74.5,1,2,294064624,294064623
Minnesota Vikings v Green Bay Packers,Minnesota Vikings,Green Bay Packers,Rushing Yards,Jordan Mason,Minnesota Vikings,79.5,2.35,1.49,BetRight,Green Bay Packers,53863092,Jordan Mason Over 79.5,Jordan Mason Under 79.5,1,2,294064625,294064626
Houston Texans v Indianapolis Colts,Houston Texans,Indianapolis Colts,Rushing Yards,Jo'Quavious Marks,NA,43.5,1.47,2.45,BetRight,NA,53852832,Jo'Quavious Marks Over 43.5,Jo'Quavious Marks Under 43.5,1,2,294020719,294020720
Houston Texans v Indianapolis Colts,Houston Texans,Indianapolis Colts,Rushing Yards,Jo'Quavious Marks,NA,48.5,1.67,2.05,BetRight,NA,53852833,Jo'Quavious Marks Over 48.5,Jo'Quavious Marks Under 48.5,1,2,294020721,294020722
Houston Texans v Indianapolis Colts,Houston Texans,Indianapolis Colts,Rushing Yards,Jo'Quavious Marks,NA,53.5,1.94,1.79,BetRight,NA,53852834,Jo'Quavious Marks Over 53.5,Jo'Quavious Marks Under 53.5,1,2,294020723,294020724
Houston Texans v Indianapolis Colts,Houston Texans,Indianapolis Colts,Rushing Yards,Jo'Quavious Marks,NA,58.5,2.2,1.56,BetRight,NA,53852835,Jo'Quavious Marks Over 58.5,Jo'Quavious Marks Under 58.5,1,2,294020725,294020726
Houston Texans v Indianapolis Colts,Houston Texans,Indianapolis Colts,Rushing Yards,Jo'Quavious Marks,NA,63.5,2.6,1.41,BetRight,NA,53852836,Jo'Quavious Marks Over 63.5,Jo'Quavious Marks Under 63.5,1,2,294020727,294020728
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Treveyon Henderson,NA,48.5,1.49,2.35,BetRight,NA,53819009,Treveyon Henderson Over 48.5,Treveyon Henderson Under 48.5,1,2,293874919,293874920
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Treveyon Henderson,NA,53.5,1.69,2.04,BetRight,NA,53819010,Treveyon Henderson Over 53.5,Treveyon Henderson Under 53.5,1,2,293874921,293874922
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Treveyon Henderson,NA,58.5,1.94,1.79,BetRight,NA,53819011,Treveyon Henderson Over 58.5,Treveyon Henderson Under 58.5,1,2,293874924,293874923
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Treveyon Henderson,NA,63.5,2.15,1.59,BetRight,NA,53819012,Treveyon Henderson Over 63.5,Treveyon Henderson Under 63.5,1,2,293874925,293874926
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Treveyon Henderson,NA,68.5,2.55,1.45,BetRight,NA,53819013,Treveyon Henderson Over 68.5,Treveyon Henderson Under 68.5,1,2,293874927,293874928
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Rhamondre Stevenson,New England Patriots,26.5,1.52,2.35,BetRight,Miami Dolphins,53820523,Rhamondre Stevenson Over 26.5,Rhamondre Stevenson Under 26.5,1,2,293879513,293879514
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Rhamondre Stevenson,New England Patriots,29.5,1.69,2.04,BetRight,Miami Dolphins,53820524,Rhamondre Stevenson Over 29.5,Rhamondre Stevenson Under 29.5,1,2,293879515,293879516
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Rhamondre Stevenson,New England Patriots,32.5,1.91,1.82,BetRight,Miami Dolphins,53820525,Rhamondre Stevenson Over 32.5,Rhamondre Stevenson Under 32.5,1,2,293879517,293879518
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Rhamondre Stevenson,New England Patriots,35.5,2.1,1.64,BetRight,Miami Dolphins,53820526,Rhamondre Stevenson Over 35.5,Rhamondre Stevenson Under 35.5,1,2,293879519,293879520
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Rhamondre Stevenson,New England Patriots,38.5,2.35,1.49,BetRight,Miami Dolphins,53820527,Rhamondre Stevenson Over 38.5,Rhamondre Stevenson Under 38.5,1,2,293879521,293879522
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Jaylen Wright,Miami Dolphins,47.5,1.44,2.6,BetRight,New England Patriots,53863782,Jaylen Wright Over 47.5,Jaylen Wright Under 47.5,1,2,294067048,294067049
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Jaylen Wright,Miami Dolphins,52.5,1.61,2.1,BetRight,New England Patriots,53863783,Jaylen Wright Over 52.5,Jaylen Wright Under 52.5,1,2,294067050,294067051
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Jaylen Wright,Miami Dolphins,57.5,1.85,1.87,BetRight,New England Patriots,53863784,Jaylen Wright Over 57.5,Jaylen Wright Under 57.5,1,2,294067052,294067053
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Jaylen Wright,Miami Dolphins,62.5,2.1,1.64,BetRight,New England Patriots,53863785,Jaylen Wright Over 62.5,Jaylen Wright Under 62.5,1,2,294067054,294067055
New England Patriots v Miami Dolphins,New England Patriots,Miami Dolphins,Rushing Yards,Jaylen Wright,Miami Dolphins,67.5,2.45,1.45,BetRight,New England Patriots,53863786,Jaylen Wright Over 67.5,Jaylen Wright Under 67.5,1,2,294067056,294067057
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Bijan Robinson,Atlanta Falcons,72.5,1.54,2.25,BetRight,New Orleans Saints,53778528,Bijan Robinson Over 72.5,Bijan Robinson Under 72.5,1,2,293711925,293711926
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Bijan Robinson,Atlanta Falcons,77.5,1.69,2.04,BetRight,New Orleans Saints,53778529,Bijan Robinson Over 77.5,Bijan Robinson Under 77.5,1,2,293711927,293711928
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Bijan Robinson,Atlanta Falcons,82.5,1.89,1.84,BetRight,New Orleans Saints,53778532,Bijan Robinson Over 82.5,Bijan Robinson Under 82.5,1,2,293711933,293711934
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Bijan Robinson,Atlanta Falcons,87.5,2.05,1.67,BetRight,New Orleans Saints,53778533,Bijan Robinson Over 87.5,Bijan Robinson Under 87.5,1,2,293711935,293711936
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Bijan Robinson,Atlanta Falcons,92.5,2.25,1.54,BetRight,New Orleans Saints,53778534,Bijan Robinson Over 92.5,Bijan Robinson Under 92.5,1,2,293711938,293711937
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Audric Estime,NA,46.5,1.69,2.04,BetRight,NA,53822159,Audric Estime Over 46.5,Audric Estime Under 46.5,1,2,293886426,293886427
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Audric Estime,NA,55.5,2.2,1.56,BetRight,NA,53822708,Audric Estime Over 55.5,Audric Estime Under 55.5,1,2,293889825,293889824
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Audric Estime,NA,43.5,1.56,2.25,BetRight,NA,53822763,Audric Estime Over 43.5,Audric Estime Under 43.5,1,2,293890121,293890120
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Audric Estime,NA,49.5,1.84,1.87,BetRight,NA,53822764,Audric Estime Over 49.5,Audric Estime Under 49.5,1,2,293890123,293890122
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Audric Estime,NA,52.5,1.99,1.72,BetRight,NA,53822765,Audric Estime Over 52.5,Audric Estime Under 52.5,1,2,293890125,293890124
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Tyler Allgeier,Atlanta Falcons,26.5,1.49,2.35,BetRight,New Orleans Saints,53862908,Tyler Allgeier Over 26.5,Tyler Allgeier Under 26.5,1,2,294063882,294063883
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Tyler Allgeier,Atlanta Falcons,29.5,1.67,2.05,BetRight,New Orleans Saints,53862909,Tyler Allgeier Over 29.5,Tyler Allgeier Under 29.5,1,2,294063885,294063884
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Tyler Allgeier,Atlanta Falcons,32.5,1.87,1.85,BetRight,New Orleans Saints,53862910,Tyler Allgeier Over 32.5,Tyler Allgeier Under 32.5,1,2,294063887,294063886
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Tyler Allgeier,Atlanta Falcons,35.5,2.05,1.66,BetRight,New Orleans Saints,53862911,Tyler Allgeier Over 35.5,Tyler Allgeier Under 35.5,1,2,294063888,294063889
Atlanta Falcons v New Orleans Saints,Atlanta Falcons,New Orleans Saints,Rushing Yards,Tyler Allgeier,Atlanta Falcons,38.5,2.35,1.49,BetRight,New Orleans Saints,53862912,Tyler Allgeier Over 38.5,Tyler Allgeier Under 38.5,1,2,294063891,294063890
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Travis Etienne,Jacksonville Jaguars,51.5,1.49,2.35,BetRight,Tennessee Titans,53815286,Travis Etienne Over 51.5,Travis Etienne Under 51.5,1,2,293862494,293862495
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Travis Etienne,Jacksonville Jaguars,56.5,1.69,2.04,BetRight,Tennessee Titans,53815287,Travis Etienne Over 56.5,Travis Etienne Under 56.5,1,2,293862496,293862497
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Travis Etienne,Jacksonville Jaguars,61.5,1.93,1.79,BetRight,Tennessee Titans,53815288,Travis Etienne Over 61.5,Travis Etienne Under 61.5,1,2,293862499,293862498
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Travis Etienne,Jacksonville Jaguars,66.5,2.15,1.61,BetRight,Tennessee Titans,53815289,Travis Etienne Over 66.5,Travis Etienne Under 66.5,1,2,293862501,293862500
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Travis Etienne,Jacksonville Jaguars,71.5,2.45,1.47,BetRight,Tennessee Titans,53815290,Travis Etienne Over 71.5,Travis Etienne Under 71.5,1,2,293862502,293862503
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Tony Pollard,Tennessee Titans,58.5,1.49,2.35,BetRight,Jacksonville Jaguars,53831220,Tony Pollard Over 58.5,Tony Pollard Under 58.5,1,2,293928393,293928392
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Tony Pollard,Tennessee Titans,63.5,1.67,2.05,BetRight,Jacksonville Jaguars,53831221,Tony Pollard Over 63.5,Tony Pollard Under 63.5,1,2,293928395,293928394
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Tony Pollard,Tennessee Titans,68.5,1.89,1.82,BetRight,Jacksonville Jaguars,53831222,Tony Pollard Over 68.5,Tony Pollard Under 68.5,1,2,293928396,293928397
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Tony Pollard,Tennessee Titans,73.5,2.1,1.61,BetRight,Jacksonville Jaguars,53831223,Tony Pollard Over 73.5,Tony Pollard Under 73.5,1,2,293928398,293928399
Jacksonville Jaguars v Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,Rushing Yards,Tony Pollard,Tennessee Titans,78.5,2.35,1.49,BetRight,Jacksonville Jaguars,53831224,Tony Pollard Over 78.5,Tony Pollard Under 78.5,1,2,293928400,293928401
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Jahmyr Gibbs,Detroit Lions,50.5,1.52,2.35,BetRight,Chicago Bears,53832694,Jahmyr Gibbs Over 50.5,Jahmyr Gibbs Under 50.5,1,2,293933020,293933021
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Jahmyr Gibbs,Detroit Lions,55.5,1.69,2.04,BetRight,Chicago Bears,53832695,Jahmyr Gibbs Over 55.5,Jahmyr Gibbs Under 55.5,1,2,293933022,293933023
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Jahmyr Gibbs,Detroit Lions,60.5,1.93,1.79,BetRight,Chicago Bears,53832696,Jahmyr Gibbs Over 60.5,Jahmyr Gibbs Under 60.5,1,2,293933024,293933025
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Jahmyr Gibbs,Detroit Lions,65.5,2.15,1.61,BetRight,Chicago Bears,53832697,Jahmyr Gibbs Over 65.5,Jahmyr Gibbs Under 65.5,1,2,293933026,293933027
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Jahmyr Gibbs,Detroit Lions,70.5,2.45,1.47,BetRight,Chicago Bears,53832698,Jahmyr Gibbs Over 70.5,Jahmyr Gibbs Under 70.5,1,2,293933028,293933029
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Kyle Monangai,Chicago Bears,39.5,1.61,2.15,BetRight,Detroit Lions,53843044,Kyle Monangai Over 39.5,Kyle Monangai Under 39.5,1,2,293979700,293979699
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Kyle Monangai,Chicago Bears,42.5,1.74,1.99,BetRight,Detroit Lions,53843045,Kyle Monangai Over 42.5,Kyle Monangai Under 42.5,1,2,293979701,293979702
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Kyle Monangai,Chicago Bears,45.5,1.9,1.82,BetRight,Detroit Lions,53843046,Kyle Monangai Over 45.5,Kyle Monangai Under 45.5,1,2,293979703,293979704
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Kyle Monangai,Chicago Bears,48.5,2.04,1.69,BetRight,Detroit Lions,53843047,Kyle Monangai Over 48.5,Kyle Monangai Under 48.5,1,2,293979706,293979705
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,Kyle Monangai,Chicago Bears,51.5,2.2,1.56,BetRight,Detroit Lions,53843048,Kyle Monangai Over 51.5,Kyle Monangai Under 51.5,1,2,293979708,293979707
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,D'Andre Swift,Chicago Bears,48.5,1.49,2.35,BetRight,Detroit Lions,53843049,D'Andre Swift Over 48.5,D'Andre Swift Under 48.5,1,2,293979710,293979709
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,D'Andre Swift,Chicago Bears,53.5,1.69,2.04,BetRight,Detroit Lions,53843050,D'Andre Swift Over 53.5,D'Andre Swift Under 53.5,1,2,293979711,293979712
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,D'Andre Swift,Chicago Bears,58.5,1.94,1.79,BetRight,Detroit Lions,53843051,D'Andre Swift Over 58.5,D'Andre Swift Under 58.5,1,2,293979714,293979713
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,D'Andre Swift,Chicago Bears,63.5,2.2,1.59,BetRight,Detroit Lions,53843052,D'Andre Swift Over 63.5,D'Andre Swift Under 63.5,1,2,293979716,293979715
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,D'Andre Swift,Chicago Bears,68.5,2.55,1.45,BetRight,Detroit Lions,53843053,D'Andre Swift Over 68.5,D'Andre Swift Under 68.5,1,2,293979717,293979718
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,David Montgomery,Detroit Lions,28.5,1.54,2.25,BetRight,Chicago Bears,53858850,David Montgomery Over 28.5,David Montgomery Under 28.5,1,2,294048660,294048661
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,David Montgomery,Detroit Lions,31.5,1.69,2.04,BetRight,Chicago Bears,53858851,David Montgomery Over 31.5,David Montgomery Under 31.5,1,2,294048663,294048662
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,David Montgomery,Detroit Lions,34.5,1.91,1.81,BetRight,Chicago Bears,53858852,David Montgomery Over 34.5,David Montgomery Under 34.5,1,2,294048665,294048664
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,David Montgomery,Detroit Lions,37.5,2.1,1.64,BetRight,Chicago Bears,53858853,David Montgomery Over 37.5,David Montgomery Under 37.5,1,2,294048666,294048667
Chicago Bears v Detroit Lions,Chicago Bears,Detroit Lions,Rushing Yards,David Montgomery,Detroit Lions,40.5,2.35,1.52,BetRight,Chicago Bears,53858854,David Montgomery Over 40.5,David Montgomery Under 40.5,1,2,294048669,294048668
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,RJ Harvey,Denver Broncos,46.5,1.47,2.45,BetRight,Los Angeles Chargers,53817931,RJ Harvey Over 46.5,RJ Harvey Under 46.5,1,2,293872357,293872358
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,RJ Harvey,Denver Broncos,51.5,1.67,2.05,BetRight,Los Angeles Chargers,53817932,RJ Harvey Over 51.5,RJ Harvey Under 51.5,1,2,293872359,293872360
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,RJ Harvey,Denver Broncos,56.5,1.91,1.81,BetRight,Los Angeles Chargers,53817933,RJ Harvey Over 56.5,RJ Harvey Under 56.5,1,2,293872361,293872362
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,RJ Harvey,Denver Broncos,61.5,2.15,1.61,BetRight,Los Angeles Chargers,53817934,RJ Harvey Over 61.5,RJ Harvey Under 61.5,1,2,293872363,293872364
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,RJ Harvey,Denver Broncos,66.5,2.55,1.45,BetRight,Los Angeles Chargers,53817935,RJ Harvey Over 66.5,RJ Harvey Under 66.5,1,2,293872365,293872366
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,Trey Lance,Los Angeles Chargers,26.5,1.49,2.35,BetRight,Denver Broncos,53862778,Trey Lance Over 26.5,Trey Lance Under 26.5,1,2,294063340,294063341
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,Trey Lance,Los Angeles Chargers,29.5,1.66,2.05,BetRight,Denver Broncos,53862779,Trey Lance Over 29.5,Trey Lance Under 29.5,1,2,294063342,294063343
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,Trey Lance,Los Angeles Chargers,32.5,1.84,1.89,BetRight,Denver Broncos,53862780,Trey Lance Over 32.5,Trey Lance Under 32.5,1,2,294063345,294063344
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,Trey Lance,Los Angeles Chargers,35.5,2.04,1.69,BetRight,Denver Broncos,53862781,Trey Lance Over 35.5,Trey Lance Under 35.5,1,2,294063347,294063346
Denver Broncos v Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,Rushing Yards,Trey Lance,Los Angeles Chargers,38.5,2.25,1.56,BetRight,Denver Broncos,53862782,Trey Lance Over 38.5,Trey Lance Under 38.5,1,2,294063348,294063349
