match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Carolina Panthers v Atlanta Falcons,Carolina Panthers,Atlanta Falcons,Passing Attempts,Bryce Young,Carolina Panthers,Atlanta Falcons,32.5,1.87,1.88,Neds
Tennessee Titans v Indianapolis Colts,Tennessee Titans,Indianapolis Colts,Passing Attempts,Cam Ward,Tennessee Titans,Indianapolis Colts,31.5,1.87,1.88,Neds
New England Patriots v Pittsburgh Steelers,New England Patriots,Pittsburgh Steelers,Passing Attempts,Drake Maye,New England Patriots,Pittsburgh Steelers,32.5,1.87,1.88,Neds
Washington Commanders v Las Vegas Raiders,Washington Commanders,Las Vegas Raiders,Passing Attempts,Geno Smith,Las Vegas Raiders,Washington Commanders,35.5,1.87,1.88,Neds
Seattle Seahawks v New Orleans Saints,Seattle Seahawks,New Orleans Saints,Passing Attempts,Spencer Rattler,New Orleans Saints,Seattle Seahawks,32.5,1.87,1.88,Neds
Seattle Seahawks v New Orleans Saints,Seattle Seahawks,New Orleans Saints,Passing Attempts,Sam Darnold,Seattle Seahawks,New Orleans Saints,30.5,1.87,1.88,Neds
Minnesota Vikings v Cincinnati Bengals,Minnesota Vikings,Cincinnati Bengals,Passing Attempts,Jake Browning,Cincinnati Bengals,Minnesota Vikings,33.5,1.87,1.88,Neds
Tampa Bay Buccaneers v New York Jets,Tampa Bay Buccaneers,New York Jets,Passing Attempts,Baker Mayfield,Tampa Bay Buccaneers,New York Jets,32.5,1.87,1.88,Neds
Philadelphia Eagles v Los Angeles Rams,Philadelphia Eagles,Los Angeles Rams,Passing Attempts,Jalen Hurts,Philadelphia Eagles,Los Angeles Rams,26.5,1.87,1.88,Neds
New England Patriots v Pittsburgh Steelers,New England Patriots,Pittsburgh Steelers,Passing Attempts,Aaron Rodgers,Pittsburgh Steelers,New England Patriots,34.5,1.87,1.88,Neds
Los Angeles Chargers v Denver Broncos,Los Angeles Chargers,Denver Broncos,Passing Attempts,Bo Nix,Denver Broncos,Los Angeles Chargers,33.5,1.87,1.88,Neds
Jacksonville Jaguars v Houston Texans,Jacksonville Jaguars,Houston Texans,Passing Attempts,C.J. Stroud,Houston Texans,Jacksonville Jaguars,31.5,1.87,1.88,Neds
Jacksonville Jaguars v Houston Texans,Jacksonville Jaguars,Houston Texans,Passing Attempts,Trevor Lawrence,Jacksonville Jaguars,Houston Texans,33.5,1.87,1.88,Neds
Los Angeles Chargers v Denver Broncos,Los Angeles Chargers,Denver Broncos,Passing Attempts,Justin Herbert,Los Angeles Chargers,Denver Broncos,33.5,1.87,1.88,Neds
San Francisco 49ers v Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,Passing Attempts,Kyler Murray,Arizona Cardinals,San Francisco 49ers,31.5,1.87,1.88,Neds
Chicago Bears v Dallas Cowboys,Chicago Bears,Dallas Cowboys,Passing Attempts,Dak Prescott,Dallas Cowboys,Chicago Bears,35.5,1.87,1.88,Neds
Minnesota Vikings v Cincinnati Bengals,Minnesota Vikings,Cincinnati Bengals,Passing Attempts,Carson Wentz,Minnesota Vikings,Cincinnati Bengals,29.5,1.87,1.88,Neds
San Francisco 49ers v Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,Passing Attempts,Mac Jones,San Francisco 49ers,Arizona Cardinals,31.5,1.87,1.88,Neds
New York Giants v Kansas City Chiefs,New York Giants,Kansas City Chiefs,Passing Attempts,Russell Wilson,New York Giants,Kansas City Chiefs,33.5,1.87,1.88,Neds
Tampa Bay Buccaneers v New York Jets,Tampa Bay Buccaneers,New York Jets,Passing Attempts,Tyrod Taylor,New York Jets,Tampa Bay Buccaneers,27.5,1.87,1.88,Neds
Philadelphia Eagles v Los Angeles Rams,Philadelphia Eagles,Los Angeles Rams,Passing Attempts,Matthew Stafford,Los Angeles Rams,Philadelphia Eagles,33.5,1.87,1.88,Neds
New York Giants v Kansas City Chiefs,New York Giants,Kansas City Chiefs,Passing Attempts,Patrick Mahomes,Kansas City Chiefs,New York Giants,34.5,1.87,1.88,Neds
Cleveland Browns v Green Bay Packers,Cleveland Browns,Green Bay Packers,Passing Attempts,Joe Flacco,Cleveland Browns,Green Bay Packers,38.5,1.87,1.88,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Passing Attempts,Lamar Jackson,Baltimore Ravens,Detroit Lions,28.5,1.87,1.88,Neds
Tennessee Titans v Indianapolis Colts,Tennessee Titans,Indianapolis Colts,Passing Attempts,Daniel Jones,Indianapolis Colts,Tennessee Titans,30.5,1.87,1.88,Neds
Carolina Panthers v Atlanta Falcons,Carolina Panthers,Atlanta Falcons,Passing Attempts,Michael Penix,NA,NA,29.5,1.87,1.88,Neds
Baltimore Ravens v Detroit Lions,Baltimore Ravens,Detroit Lions,Passing Attempts,Jared Goff,Detroit Lions,Baltimore Ravens,34.5,1.87,1.88,Neds
Chicago Bears v Dallas Cowboys,Chicago Bears,Dallas Cowboys,Passing Attempts,Caleb Williams,Chicago Bears,Dallas Cowboys,33.5,1.87,1.88,Neds
Washington Commanders v Las Vegas Raiders,Washington Commanders,Las Vegas Raiders,Passing Attempts,Marcus Mariota,Washington Commanders,Las Vegas Raiders,30.5,1.87,1.88,Neds
Cleveland Browns v Green Bay Packers,Cleveland Browns,Green Bay Packers,Passing Attempts,Jordan Love,Green Bay Packers,Cleveland Browns,28.5,1.87,1.88,Neds
