match,home_team,away_team,market,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,69.5,1.6,2.3,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 69.5 - Amon-Ra St. Brown (DET),51042725,Amon-Ra St. Brown Over 69.5,Amon-Ra St. Brown Under 69.5,1,2,282048034,282048035
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,79.5,1.9,1.88,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 79.5 - Amon-Ra St. Brown (DET),51042726,Amon-Ra St. Brown Over 79.5,Amon-Ra St. Brown Under 79.5,1,2,282048037,282048036
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,89.5,2.3,1.6,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 89.5 - Amon-Ra St. Brown (DET),51042727,Amon-Ra St. Brown Over 89.5,Amon-Ra St. Brown Under 89.5,1,2,282048039,282048038
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Jameson Williams,Detroit Lions,39.5,1.57,2.3,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 39.5 - Jameson Williams (DET),51042729,Jameson Williams Over 39.5,Jameson Williams Under 39.5,1,2,282048042,282048043
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Jameson Williams,Detroit Lions,44.5,1.75,2.05,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 44.5 - Jameson Williams (DET),51042730,Jameson Williams Over 44.5,Jameson Williams Under 44.5,1,2,282048044,282048045
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Jameson Williams,Detroit Lions,49.5,1.98,1.8,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 49.5 - Jameson Williams (DET),51042731,Jameson Williams Over 49.5,Jameson Williams Under 49.5,1,2,282048046,282048047
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Jameson Williams,Detroit Lions,59.5,2.5,1.5,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 59.5 - Jameson Williams (DET),51042732,Jameson Williams Over 59.5,Jameson Williams Under 59.5,1,2,282048049,282048048
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Amon-Ra St. Brown,Detroit Lions,99.5,2.8,1.4,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 99.5 - Amon-Ra St. Brown (DET),51044586,Amon-Ra St. Brown Over 99.5,Amon-Ra St. Brown Under 99.5,1,2,282060318,282060317
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Sam Laporta,NA,69.5,3.3,1.3,BetRight,NA,Player Receive Yards Over/Under 69.5 - Sam LaPorta (DET),51081832,Sam Laporta Over 69.5,Sam Laporta Under 69.5,1,2,282231658,282231657
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Jameson Williams,Detroit Lions,69.5,3.3,1.32,BetRight,Tampa Bay Buccaneers,Player Receive Yards Over/Under 69.5 - Jameson Williams (DET),51145481,Jameson Williams Over 69.5,Jameson Williams Under 69.5,1,2,282485119,282485120
