match,player_name,player_team,market,line,over_price,agency,under_price
Atlanta Falcons v Tampa Bay Buccaneers,Bijan Robinson,Atlanta Falcons,Receptions,3.5,1.98,Pinnacle,1.847
Atlanta Falcons v Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,Receptions,2.5,1.595,Pinnacle,2.38
Atlanta Falcons v Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,Receptions,3.5,2.11,Pinnacle,1.74
Atlanta Falcons v Tampa Bay Buccaneers,Drake London,Atlanta Falcons,Receptions,6.5,2.03,Pinnacle,1.8
Atlanta Falcons v Tampa Bay Buccaneers,Emeka Egbuka,Tampa Bay Buccaneers,Receptions,4.5,1.675,Pinnacle,2.22
Atlanta Falcons v Tampa Bay Buccaneers,Kyle Pitts,Atlanta Falcons,Receptions,3.5,2.23,Pinnacle,1.671
Atlanta Falcons v Tampa Bay Buccaneers,Mike Evans,Tampa Bay Buccaneers,Receptions,5.5,1.84,Pinnacle,1.98
Buffalo Bills v Baltimore Ravens,Dalton Kincaid,Buffalo Bills,Receptions,3.5,1.925,Pinnacle,1.892
Buffalo Bills v Baltimore Ravens,Dawson Knox,Buffalo Bills,Receptions,1.5,2.49,Pinnacle,1.546
Buffalo Bills v Baltimore Ravens,DeAndre Hopkins,Baltimore Ravens,Receptions,1.5,1.724,Pinnacle,2.04
Buffalo Bills v Baltimore Ravens,Derrick Henry,Baltimore Ravens,Receptions,1.5,2.74,Pinnacle,1.465
Buffalo Bills v Baltimore Ravens,James Cook,Buffalo Bills,Receptions,1.5,1.625,Pinnacle,2.31
Buffalo Bills v Baltimore Ravens,Joshua Palmer,NA,Receptions,2.5,2.05,Pinnacle,1.74
Buffalo Bills v Baltimore Ravens,Justice Hill,Baltimore Ravens,Receptions,2.5,2,Pinnacle,1.826
Buffalo Bills v Baltimore Ravens,Keon Coleman,Buffalo Bills,Receptions,2.5,1.854,Pinnacle,1.961
Buffalo Bills v Baltimore Ravens,Khalil Shakir,Buffalo Bills,Receptions,4.5,1.952,Pinnacle,1.869
Buffalo Bills v Baltimore Ravens,Mark Andrews,Baltimore Ravens,Receptions,4.5,2.33,Pinnacle,1.617
Buffalo Bills v Baltimore Ravens,Rashod Bateman,Baltimore Ravens,Receptions,2.5,1.662,Pinnacle,2.24
Buffalo Bills v Baltimore Ravens,Zay Flowers,Baltimore Ravens,Receptions,4.5,1.8,Pinnacle,2.03
Chicago Bears v Minnesota Vikings,Aaron Jones,Minnesota Vikings,Receptions,2.5,1.769,Pinnacle,1.98
Chicago Bears v Minnesota Vikings,Adam Thielen,Minnesota Vikings,Receptions,3.5,2.25,Pinnacle,1.595
Chicago Bears v Minnesota Vikings,Colston Loveland,Chicago Bears,Receptions,2.5,1.595,Pinnacle,2.26
Chicago Bears v Minnesota Vikings,D'Andre Swift,Chicago Bears,Receptions,2.5,2.13,Pinnacle,1.666
Chicago Bears v Minnesota Vikings,DJ Moore,Chicago Bears,Receptions,5.5,2.03,Pinnacle,1.735
Chicago Bears v Minnesota Vikings,Justin Jefferson,Minnesota Vikings,Receptions,6.5,2.15,Pinnacle,1.653
Chicago Bears v Minnesota Vikings,Rome Odunze,Chicago Bears,Receptions,4.5,2.17,Pinnacle,1.641
Chicago Bears v Minnesota Vikings,T.J. Hockenson,Minnesota Vikings,Receptions,4.5,2,Pinnacle,1.757
Cleveland Browns v Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,Receptions,2.5,2.75,Pinnacle,1.462
Cleveland Browns v Cincinnati Bengals,Cedric Tillman,Cleveland Browns,Receptions,3.5,2.01,Pinnacle,1.819
Cleveland Browns v Cincinnati Bengals,Chase Brown,Cincinnati Bengals,Receptions,2.5,1.621,Pinnacle,2.32
Cleveland Browns v Cincinnati Bengals,David Njoku,Cleveland Browns,Receptions,5.5,2.12,Pinnacle,1.735
Cleveland Browns v Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,Receptions,6.5,1.833,Pinnacle,1.99
Cleveland Browns v Cincinnati Bengals,Jerry Jeudy,Cleveland Browns,Receptions,4.5,1.621,Pinnacle,2.32
Cleveland Browns v Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,Receptions,2.5,2.07,Pinnacle,1.769
Cleveland Browns v Cincinnati Bengals,Tee Higgins,Cincinnati Bengals,Receptions,5.5,2.11,Pinnacle,1.746
Denver Broncos v Tennessee Titans,Calvin Ridley,Tennessee Titans,Receptions,4.5,2.32,Pinnacle,1.621
Denver Broncos v Tennessee Titans,Chig Okonkwo,Tennessee Titans,Receptions,3.5,1.97,Pinnacle,1.854
Denver Broncos v Tennessee Titans,Courtland Sutton,Denver Broncos,Receptions,4.5,1.826,Pinnacle,2
Denver Broncos v Tennessee Titans,Evan Engram,Denver Broncos,Receptions,3.5,1.621,Pinnacle,2.32
Denver Broncos v Tennessee Titans,Marvin Mims,NA,Receptions,3.5,2.28,Pinnacle,1.641
Denver Broncos v Tennessee Titans,RJ Harvey,Denver Broncos,Receptions,2.5,2.76,Pinnacle,1.458
Denver Broncos v Tennessee Titans,Tony Pollard,Tennessee Titans,Receptions,2.5,1.595,Pinnacle,2.38
Denver Broncos v Tennessee Titans,Troy Franklin,Denver Broncos,Receptions,2.5,2.58,Pinnacle,1.515
Denver Broncos v Tennessee Titans,Tyler Lockett,Tennessee Titans,Receptions,2.5,2.2,Pinnacle,1.684
Green Bay Packers v Detroit Lions,Amon-Ra St. Brown,Detroit Lions,Receptions,6.5,2.18,Pinnacle,1.699
Green Bay Packers v Detroit Lions,Isaac TeSlaa,Detroit Lions,Receptions,1.5,2.39,Pinnacle,1.588
Green Bay Packers v Detroit Lions,Jahmyr Gibbs,Detroit Lions,Receptions,2.5,1.543,Pinnacle,2.5
Green Bay Packers v Detroit Lions,Jameson Williams,Detroit Lions,Receptions,3.5,1.636,Pinnacle,2.29
Green Bay Packers v Detroit Lions,Josh Jacobs,Green Bay Packers,Receptions,2.5,2.53,Pinnacle,1.531
Green Bay Packers v Detroit Lions,Matthew Golden,Green Bay Packers,Receptions,3.5,1.653,Pinnacle,2.26
