match,player_name,player_team,market,line,over_price,agency,under_price
Atlanta Falcons v Buffalo Bills,Josh Allen,Buffalo Bills,Passing Attempts,30.5,1.9,Pinnacle,1.98
Atlanta Falcons v Buffalo Bills,Michael Penix,NA,Passing Attempts,31.5,1.97,Pinnacle,1.775
Baltimore Ravens v Los Angeles Rams,Cooper Rush,Baltimore Ravens,Passing Attempts,30.5,1.826,Pinnacle,1.917
Baltimore Ravens v Los Angeles Rams,Matthew Stafford,Los Angeles Rams,Passing Attempts,34.5,2.07,Pinnacle,1.704
Carolina Panthers v Dallas Cowboys,Bryce Young,Carolina Panthers,Passing Attempts,33.5,2.21,Pinnacle,1.621
Carolina Panthers v Dallas Cowboys,Dak Prescott,Dallas Cowboys,Passing Attempts,32.5,1.574,Pinnacle,2.3
Green Bay Packers v Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,Passing Attempts,36.5,1.769,Pinnacle,1.98
Green Bay Packers v Cincinnati Bengals,Jordan Love,Green Bay Packers,Passing Attempts,29.5,1.709,Pinnacle,2.06
Indianapolis Colts v Arizona Cardinals,Daniel Jones,Indianapolis Colts,Passing Attempts,31.5,1.961,Pinnacle,1.787
Indianapolis Colts v Arizona Cardinals,Kyler Murray,Arizona Cardinals,Passing Attempts,33.5,1.826,Pinnacle,1.917
Jacksonville Jaguars v Seattle Seahawks,Sam Darnold,Seattle Seahawks,Passing Attempts,30.5,1.714,Pinnacle,2.06
Jacksonville Jaguars v Seattle Seahawks,Trevor Lawrence,Jacksonville Jaguars,Passing Attempts,33.5,1.666,Pinnacle,2.13
Kansas City Chiefs v Detroit Lions,Jared Goff,Detroit Lions,Passing Attempts,31.5,1.649,Pinnacle,2.16
Las Vegas Raiders v Tennessee Titans,Cam Ward,Tennessee Titans,Passing Attempts,32.5,2.2,Pinnacle,1.625
Las Vegas Raiders v Tennessee Titans,Geno Smith,Las Vegas Raiders,Passing Attempts,30.5,1.99,Pinnacle,1.763
Miami Dolphins v Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,Passing Attempts,34.5,1.775,Pinnacle,1.97
Miami Dolphins v Los Angeles Chargers,Tua Tagovailoa,Miami Dolphins,Passing Attempts,33.5,1.763,Pinnacle,1.99
New Orleans Saints v New England Patriots,Drake Maye,New England Patriots,Passing Attempts,30.5,1.724,Pinnacle,2.04
New Orleans Saints v New England Patriots,Spencer Rattler,New Orleans Saints,Passing Attempts,33.5,2.04,Pinnacle,1.724
New York Jets v Denver Broncos,Bo Nix,Denver Broncos,Passing Attempts,32.5,2.01,Pinnacle,1.787
New York Jets v Denver Broncos,Justin Fields,New York Jets,Passing Attempts,29.5,2.37,Pinnacle,1.574
Pittsburgh Steelers v Cleveland Browns,Aaron Rodgers,Pittsburgh Steelers,Passing Attempts,29.5,1.746,Pinnacle,2.01
Pittsburgh Steelers v Cleveland Browns,Dillon Gabriel,Cleveland Browns,Passing Attempts,30.5,1.769,Pinnacle,1.98
Tampa Bay Buccaneers v San Francisco 49ers,Baker Mayfield,Tampa Bay Buccaneers,Passing Attempts,33.5,1.961,Pinnacle,1.787
Tampa Bay Buccaneers v San Francisco 49ers,Mac Jones,San Francisco 49ers,Passing Attempts,36.5,2.06,Pinnacle,1.709
Washington Commanders v Chicago Bears,Caleb Williams,Chicago Bears,Passing Attempts,31.5,1.781,Pinnacle,2.14
Washington Commanders v Chicago Bears,Jayden Daniels,Washington Commanders,Passing Attempts,29.5,1.74,Pinnacle,2.2
